CompanyCode,Material_Description
1054,POTATO COURAGE MH18 G1 GRADE M7
1054,POTATO FARIDA MH14 G1 GRADE M7
1054,POTATO DELIARED MH21 G1 GRADE M7
1054,POTATO COURAGE MH18 G2 GRADE M2
1054,POTATO IVORYRUSSET MH17 G1 GRADE M7
1054,POTATO LADYROSSETTA I G2 GRADE M0
1054,POTATO SAGITTA MH04 G2 GRADE M3
1054,POTATO SURYA R G3 GRADE M1
1054,POTATO DELIARED MH21 G3 GRADE M7
1054,POTATO BADSHAH A G3 GRADE M7
1054,POTATO CHIP-1 D G1 GRADE M5
1054,POTATO INNOVATOR MH15 G1 GRADE M1
1054,POTATO CHIPSONA1 MINI GRADE S03 D
1054,POTATO INNOVATOR MH15 Grade M9
1054,POTATO RED X REDX G1 GRADE M11
1054,POTATO DELIARED MH21 G3 GRADE M1
1054,POTATO PUKHRAJ H G1 GRADE M11
1054,POTATO SUNITA MH28 G1 GRADE M1
1054,Potato Pukhraj H -M5
1054,Potato LR I -M7
1054,POTATO RED SCAR MH38 G1 GRADE M1
1054,POTATO CHIP-1 D G2 GRADE M7
1054,POTATO SIFRA MH34 G2 GRADE M2
1054,POTATO ATLANTIC K G1 GRADE M2
1054,POTATO MEMPHIS MH08 G3 GRADE M6
1054,Potato Jyoti G -M2
1054,POTATO LADYROSSETTA I G4 GRADE M6
1054,POTATO TAURUS MH05 GRADE M4
1054,POTATO JYOTI G G1 GRADE M1
1054,Potato LR I -M2
1054,Potato Pukhraj H-M12
1054,POTATO COLOMBA MH11 G2 GRADE M0
1054,POTATO KCM C G3 GRADE M2A
1054,POTATO LAUVKAR F G2 GRADE M7
1054,POTATO DIAMONT MINI GRADE S03
1054,Potato Atlantic K -M07
1054,POTATO DELIARED MINI GRADE S03 MH21
1054,POTATO ALVERSTONE MH23 G1 GRADE M1
1054,POTATO DELIARED MH21 GRADE M2
1054,POTATO HIMALINI ZI G2 GRADE M1
1054,POTATO HERMOSA MH25 G1 GRADE M4
1054,POTATO KCM C0 Grade M12
1054,POTATO MEMPHIS MH08 G3 GRADE M9
1054,POTATO KCM C G3 GRADE M0
1054,POTATO TIGER MINI GRADE S03 MH26
1054,POTATO ATLANTIC K G3 GRADE M3
1054,POTATO DERBY MH16 G3 GRADE M0
1054,POTATO MULBERRY MH30 G2 GRADE M7
1054,Potato Chipsona 1 D -M5
1054,Potato Jyoti G Grade M11
1054,POTATO ATLANTIC K G3 GRADE M1
1054,POTATO BADSHAH A G2 GRADE M1
1054,POTATO HZD MH24 G2 GRADE M1
1054,POTATO KCM C G2 GRADE M3
1054,Potato Jyoti G -M5
1054,POTATO KCM C G1 GRADE M0
1054,Potato LADYROSSETTA I GRADE M7
1054,POTATO LAUVKAR F G3 GRADE M3
1054,POTATO LADYROSSETTA I G4 GRADE M4
1054,POTATO JOLLY MH32 G1 GRADE M7
1054,POTATO SURYA R G3 GRADE M6
1054,POTATO HERMOSA MH25 G1 GRADE M1
1054,POTATO JYOTI G G3 GRADE M11
1054,POTATO LAUVKAR F G1 GRADE M3
1054,POTATO JOLLY MH32 GRADE M1
1054,POTATO RONALDO MH43 G2 GRADE M2
1054,POTATO INNOVATOR MH15 G3 GRADE M4
1054,POTATO LADYROSSETTA I G3 GRADE M1
1054,POTATO PANAMERA MH06 G2 GRADE M0
1054,POTATO CHIP-1 D G1 GRADE M0
1054,POTATO COLOMBA MH11 GRADE M1
1054,POTATO IVORYRUSSET MH17 G3 GRADE M7
1054,POTATO MEMPHIS MH08 G2 GRADE M2
1054,POTATO SUNRED MH27 GRADE M1
1054,POTATO INNOVATOR MINI GRADE S03
1054,POTATO BADSHAH A G2 GRADE M4
1054,POTATO PANAMERA MH06 G3 GRADE M3
1054,POTATO PRIMABELLE MH29 G1 GRADE M2
